"","sid","type","spec_batch","pno_br","mzo_br","pno_purity","prep_batch","blender_batch","sid_type","rep_batch","all_batch","all_br","all_label"
"2491","1","QC","20200911","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200911_03/07/2020_NoBlend","01","01_0"
"2492","1","QC","20200911","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200911_03/07/2020_NoBlend","01","01_0"
"2499","10","QC","20200911","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200911_03/07/2020_NoBlend","50","50_100"
"2501","10","QC","20200911","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200911_03/07/2020_NoBlend","50","50_100"
"2504","5","QC","20200911","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200911_03/07/2020_NoBlend","05","05_0"
"2508","5","QC","20200911","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200911_03/07/2020_NoBlend","05","05_0"
"2510","6","QC","20200911","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200911_03/07/2020_NoBlend","10","10_100"
"2511","6","QC","20200911","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200911_03/07/2020_NoBlend","10","10_100"
"2519","1","QC","20200914","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200914_03/07/2020_NoBlend","01","01_0"
"2520","1","QC","20200914","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200914_03/07/2020_NoBlend","01","01_0"
"2522","10","QC","20200914","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200914_03/07/2020_NoBlend","50","50_100"
"2525","10","QC","20200914","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200914_03/07/2020_NoBlend","50","50_100"
"2529","5","QC","20200914","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200914_03/07/2020_NoBlend","05","05_0"
"2532","5","QC","20200914","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200914_03/07/2020_NoBlend","05","05_0"
"2534","6","QC","20200914","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200914_03/07/2020_NoBlend","10","10_100"
"2537","6","QC","20200914","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200914_03/07/2020_NoBlend","10","10_100"
"2540","1","QC","20200915","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200915_03/07/2020_NoBlend","01","01_0"
"2542","1","QC","20200915","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200915_03/07/2020_NoBlend","01","01_0"
"2547","10","QC","20200915","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200915_03/07/2020_NoBlend","50","50_100"
"2548","10","QC","20200915","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200915_03/07/2020_NoBlend","50","50_100"
"2555","5","QC","20200915","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200915_03/07/2020_NoBlend","05","05_0"
"2556","5","QC","20200915","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200915_03/07/2020_NoBlend","05","05_0"
"2561","6","QC","20200915","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200915_03/07/2020_NoBlend","10","10_100"
"2562","6","QC","20200915","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200915_03/07/2020_NoBlend","10","10_100"
"2563","1","QC","20200916","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200916_03/07/2020_NoBlend","01","01_0"
"2564","1","QC","20200916","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200916_03/07/2020_NoBlend","01","01_0"
"2571","10","QC","20200916","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200916_03/07/2020_NoBlend","50","50_100"
"2574","10","QC","20200916","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200916_03/07/2020_NoBlend","50","50_100"
"2576","5","QC","20200916","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200916_03/07/2020_NoBlend","05","05_0"
"2579","5","QC","20200916","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200916_03/07/2020_NoBlend","05","05_0"
"2583","6","QC","20200916","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200916_03/07/2020_NoBlend","10","10_100"
"2585","6","QC","20200916","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200916_03/07/2020_NoBlend","10","10_100"
"2589","1","QC","20200917","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200917_03/07/2020_NoBlend","01","01_0"
"2590","1","QC","20200917","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200917_03/07/2020_NoBlend","01","01_0"
"2594","10","QC","20200917","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200917_03/07/2020_NoBlend","50","50_100"
"2595","10","QC","20200917","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200917_03/07/2020_NoBlend","50","50_100"
"2601","5","QC","20200917","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200917_03/07/2020_NoBlend","05","05_0"
"2604","5","QC","20200917","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200917_03/07/2020_NoBlend","05","05_0"
"2607","6","QC","20200917","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200917_03/07/2020_NoBlend","10","10_100"
"2608","6","QC","20200917","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200917_03/07/2020_NoBlend","10","10_100"
"2612","1","QC","20200901","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200901_03/07/2020_NoBlend","01","01_0"
"2614","1","QC","20200901","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200901_03/07/2020_NoBlend","01","01_0"
"2619","10","QC","20200901","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200901_03/07/2020_NoBlend","50","50_100"
"2620","10","QC","20200901","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200901_03/07/2020_NoBlend","50","50_100"
"2624","5","QC","20200901","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200901_03/07/2020_NoBlend","05","05_0"
"2628","5","QC","20200901","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200901_03/07/2020_NoBlend","05","05_0"
"2630","6","QC","20200901","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200901_03/07/2020_NoBlend","10","10_100"
"2634","6","QC","20200901","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200901_03/07/2020_NoBlend","10","10_100"
"2635","1","QC","20200902","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200902_03/07/2020_NoBlend","01","01_0"
"2636","1","QC","20200902","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200902_03/07/2020_NoBlend","01","01_0"
"2643","10","QC","20200902","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200902_03/07/2020_NoBlend","50","50_100"
"2646","10","QC","20200902","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200902_03/07/2020_NoBlend","50","50_100"
"2647","5","QC","20200902","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200902_03/07/2020_NoBlend","05","05_0"
"2651","5","QC","20200902","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200902_03/07/2020_NoBlend","05","05_0"
"2654","6","QC","20200902","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200902_03/07/2020_NoBlend","10","10_100"
"2655","6","QC","20200902","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200902_03/07/2020_NoBlend","10","10_100"
"2659","1","QC","20200903","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200903_03/07/2020_NoBlend","01","01_0"
"2663","1","QC","20200903","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200903_03/07/2020_NoBlend","01","01_0"
"2668","10","QC","20200903","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200903_03/07/2020_NoBlend","50","50_100"
"2669","10","QC","20200903","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200903_03/07/2020_NoBlend","50","50_100"
"2673","5","QC","20200903","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200903_03/07/2020_NoBlend","05","05_0"
"2676","5","QC","20200903","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200903_03/07/2020_NoBlend","05","05_0"
"2678","6","QC","20200903","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200903_03/07/2020_NoBlend","10","10_100"
"2681","6","QC","20200903","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200903_03/07/2020_NoBlend","10","10_100"
"2685","1","QC","20200904","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200904_03/07/2020_NoBlend","01","01_0"
"2687","1","QC","20200904","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200904_03/07/2020_NoBlend","01","01_0"
"2689","10","QC","20200904","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200904_03/07/2020_NoBlend","50","50_100"
"2692","10","QC","20200904","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200904_03/07/2020_NoBlend","50","50_100"
"2699","5","QC","20200904","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200904_03/07/2020_NoBlend","05","05_0"
"2700","5","QC","20200904","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200904_03/07/2020_NoBlend","05","05_0"
"2701","6","QC","20200904","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200904_03/07/2020_NoBlend","10","10_100"
"2704","6","QC","20200904","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200904_03/07/2020_NoBlend","10","10_100"
"2707","1","QC","20200907","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200907_03/07/2020_NoBlend","01","01_0"
"2708","1","QC","20200907","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200907_03/07/2020_NoBlend","01","01_0"
"2714","10","QC","20200907","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200907_03/07/2020_NoBlend","50","50_100"
"2717","10","QC","20200907","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200907_03/07/2020_NoBlend","50","50_100"
"2721","5","QC","20200907","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200907_03/07/2020_NoBlend","05","05_0"
"2724","5","QC","20200907","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200907_03/07/2020_NoBlend","05","05_0"
"2726","6","QC","20200907","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200907_03/07/2020_NoBlend","10","10_100"
"2729","6","QC","20200907","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200907_03/07/2020_NoBlend","10","10_100"
"2733","1","QC","20200908","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200908_03/07/2020_NoBlend","01","01_0"
"2734","1","QC","20200908","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200908_03/07/2020_NoBlend","01","01_0"
"2741","10","QC","20200908","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200908_03/07/2020_NoBlend","50","50_100"
"2742","10","QC","20200908","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200908_03/07/2020_NoBlend","50","50_100"
"2744","5","QC","20200908","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200908_03/07/2020_NoBlend","05","05_0"
"2746","5","QC","20200908","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200908_03/07/2020_NoBlend","05","05_0"
"2751","6","QC","20200908","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200908_03/07/2020_NoBlend","10","10_100"
"2752","6","QC","20200908","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200908_03/07/2020_NoBlend","10","10_100"
"2758","1","QC","20200909","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200909_03/07/2020_NoBlend","01","01_0"
"2760","1","QC","20200909","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200909_03/07/2020_NoBlend","01","01_0"
"2762","10","QC","20200909","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200909_03/07/2020_NoBlend","50","50_100"
"2765","10","QC","20200909","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200909_03/07/2020_NoBlend","50","50_100"
"2767","5","QC","20200909","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200909_03/07/2020_NoBlend","05","05_0"
"2768","5","QC","20200909","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200909_03/07/2020_NoBlend","05","05_0"
"2774","6","QC","20200909","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200909_03/07/2020_NoBlend","10","10_100"
"2777","6","QC","20200909","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200909_03/07/2020_NoBlend","10","10_100"
"2780","1","QC","20200910","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200910_03/07/2020_NoBlend","01","01_0"
"2783","1","QC","20200910","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200910_03/07/2020_NoBlend","01","01_0"
"2785","10","QC","20200910","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200910_03/07/2020_NoBlend","50","50_100"
"2790","10","QC","20200910","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200910_03/07/2020_NoBlend","50","50_100"
"2793","5","QC","20200910","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200910_03/07/2020_NoBlend","05","05_0"
"2794","5","QC","20200910","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200910_03/07/2020_NoBlend","05","05_0"
"2797","6","QC","20200910","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200910_03/07/2020_NoBlend","10","10_100"
"2798","6","QC","20200910","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200910_03/07/2020_NoBlend","10","10_100"
"23731","1","QC","20201123","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201123_03/07/2020_NoBlend","01","01_0"
"23761","1","QC","20201123","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201123_03/07/2020_NoBlend","01","01_0"
"23791","10","QC","20201123","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201123_03/07/2020_NoBlend","50","50_100"
"23801","10","QC","20201123","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201123_03/07/2020_NoBlend","50","50_100"
"23841","5","QC","20201123","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201123_03/07/2020_NoBlend","05","05_0"
"23861","5","QC","20201123","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201123_03/07/2020_NoBlend","05","05_0"
"23901","6","QC","20201123","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201123_03/07/2020_NoBlend","10","10_100"
"23911","6","QC","20201123","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201123_03/07/2020_NoBlend","10","10_100"
"23981","1","QC","20201207","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201207_03/07/2020_NoBlend","01","01_0"
"24001","1","QC","20201207","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201207_03/07/2020_NoBlend","01","01_0"
"24031","10","QC","20201207","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201207_03/07/2020_NoBlend","50","50_100"
"24061","10","QC","20201207","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201207_03/07/2020_NoBlend","50","50_100"
"24081","5","QC","20201207","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201207_03/07/2020_NoBlend","05","05_0"
"24101","5","QC","20201207","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201207_03/07/2020_NoBlend","05","05_0"
"24151","6","QC","20201207","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201207_03/07/2020_NoBlend","10","10_100"
"24161","6","QC","20201207","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201207_03/07/2020_NoBlend","10","10_100"
"24201","1","QC","20210111","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20210111_03/07/2020_NoBlend","01","01_0"
"24211","1","QC","20210111","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20210111_03/07/2020_NoBlend","01","01_0"
"24271","10","QC","20210111","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20210111_03/07/2020_NoBlend","50","50_100"
"24281","10","QC","20210111","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20210111_03/07/2020_NoBlend","50","50_100"
"24311","5","QC","20210111","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20210111_03/07/2020_NoBlend","05","05_0"
"24331","5","QC","20210111","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20210111_03/07/2020_NoBlend","05","05_0"
"24411","6","QC","20210111","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20210111_03/07/2020_NoBlend","10","10_100"
"24421","6","QC","20210111","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20210111_03/07/2020_NoBlend","10","10_100"
"24441","1","QC","20210112","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20210112_03/07/2020_NoBlend","01","01_0"
"24461","1","QC","20210112","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20210112_03/07/2020_NoBlend","01","01_0"
"24501","10","QC","20210112","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20210112_03/07/2020_NoBlend","50","50_100"
"24521","10","QC","20210112","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20210112_03/07/2020_NoBlend","50","50_100"
"24561","5","QC","20210112","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20210112_03/07/2020_NoBlend","05","05_0"
"24571","5","QC","20210112","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20210112_03/07/2020_NoBlend","05","05_0"
"24631","6","QC","20210112","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20210112_03/07/2020_NoBlend","10","10_100"
"24661","6","QC","20210112","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20210112_03/07/2020_NoBlend","10","10_100"
"24671","1","QC","20201124","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201124_03/07/2020_NoBlend","01","01_0"
"24721","1","QC","20201124","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201124_03/07/2020_NoBlend","01","01_0"
"24741","10","QC","20201124","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201124_03/07/2020_NoBlend","50","50_100"
"24761","10","QC","20201124","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201124_03/07/2020_NoBlend","50","50_100"
"24811","5","QC","20201124","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201124_03/07/2020_NoBlend","05","05_0"
"24831","5","QC","20201124","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201124_03/07/2020_NoBlend","05","05_0"
"24891","6","QC","20201124","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201124_03/07/2020_NoBlend","10","10_100"
"24901","6","QC","20201124","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201124_03/07/2020_NoBlend","10","10_100"
"24911","1","QC","20201125","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201125_03/07/2020_NoBlend","01","01_0"
"24951","1","QC","20201125","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201125_03/07/2020_NoBlend","01","01_0"
"25001","10","QC","20201125","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201125_03/07/2020_NoBlend","50","50_100"
"25011","10","QC","20201125","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201125_03/07/2020_NoBlend","50","50_100"
"25051","5","QC","20201125","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201125_03/07/2020_NoBlend","05","05_0"
"25071","5","QC","20201125","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201125_03/07/2020_NoBlend","05","05_0"
"25111","6","QC","20201125","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201125_03/07/2020_NoBlend","10","10_100"
"25131","6","QC","20201125","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201125_03/07/2020_NoBlend","10","10_100"
"25151","1","QC","20201126","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201126_03/07/2020_NoBlend","01","01_0"
"25161","1","QC","20201126","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201126_03/07/2020_NoBlend","01","01_0"
"25231","10","QC","20201126","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201126_03/07/2020_NoBlend","50","50_100"
"25241","10","QC","20201126","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201126_03/07/2020_NoBlend","50","50_100"
"25291","5","QC","20201126","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201126_03/07/2020_NoBlend","05","05_0"
"25321","5","QC","20201126","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201126_03/07/2020_NoBlend","05","05_0"
"25341","6","QC","20201126","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201126_03/07/2020_NoBlend","10","10_100"
"25361","6","QC","20201126","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201126_03/07/2020_NoBlend","10","10_100"
"25421","1","QC","20201127","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201127_03/07/2020_NoBlend","01","01_0"
"25441","1","QC","20201127","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201127_03/07/2020_NoBlend","01","01_0"
"25481","10","QC","20201127","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201127_03/07/2020_NoBlend","50","50_100"
"25501","10","QC","20201127","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201127_03/07/2020_NoBlend","50","50_100"
"25511","5","QC","20201127","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201127_03/07/2020_NoBlend","05","05_0"
"25561","5","QC","20201127","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201127_03/07/2020_NoBlend","05","05_0"
"25601","6","QC","20201127","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201127_03/07/2020_NoBlend","10","10_100"
"25611","6","QC","20201127","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201127_03/07/2020_NoBlend","10","10_100"
"25661","1","QC","20201201","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201201_03/07/2020_NoBlend","01","01_0"
"25681","1","QC","20201201","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201201_03/07/2020_NoBlend","01","01_0"
"25701","10","QC","20201201","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201201_03/07/2020_NoBlend","50","50_100"
"25711","10","QC","20201201","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201201_03/07/2020_NoBlend","50","50_100"
"25791","5","QC","20201201","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201201_03/07/2020_NoBlend","05","05_0"
"25801","5","QC","20201201","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201201_03/07/2020_NoBlend","05","05_0"
"25811","6","QC","20201201","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201201_03/07/2020_NoBlend","10","10_100"
"25851","6","QC","20201201","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201201_03/07/2020_NoBlend","10","10_100"
"25881","1","QC","20201202","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201202_03/07/2020_NoBlend","01","01_0"
"25911","1","QC","20201202","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201202_03/07/2020_NoBlend","01","01_0"
"25941","10","QC","20201202","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201202_03/07/2020_NoBlend","50","50_100"
"25971","10","QC","20201202","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201202_03/07/2020_NoBlend","50","50_100"
"26011","5","QC","20201202","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201202_03/07/2020_NoBlend","05","05_0"
"26021","5","QC","20201202","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201202_03/07/2020_NoBlend","05","05_0"
"26071","6","QC","20201202","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201202_03/07/2020_NoBlend","10","10_100"
"26081","6","QC","20201202","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201202_03/07/2020_NoBlend","10","10_100"
"26121","1","QC","20201203","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201203_03/07/2020_NoBlend","01","01_0"
"26151","1","QC","20201203","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201203_03/07/2020_NoBlend","01","01_0"
"26201","10","QC","20201203","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201203_03/07/2020_NoBlend","50","50_100"
"26211","10","QC","20201203","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201203_03/07/2020_NoBlend","50","50_100"
"26251","5","QC","20201203","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201203_03/07/2020_NoBlend","05","05_0"
"26261","5","QC","20201203","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201203_03/07/2020_NoBlend","05","05_0"
"26311","6","QC","20201203","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201203_03/07/2020_NoBlend","10","10_100"
"26341","6","QC","20201203","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201203_03/07/2020_NoBlend","10","10_100"
"26381","1","QC","20201204","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201204_03/07/2020_NoBlend","01","01_0"
"26391","1","QC","20201204","0","1",0,"03/07/2020","NoBlend","1_QC",2,"20201204_03/07/2020_NoBlend","01","01_0"
"26441","10","QC","20201204","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201204_03/07/2020_NoBlend","50","50_100"
"26451","10","QC","20201204","5","0",100,"03/07/2020","NoBlend","10_QC",2,"20201204_03/07/2020_NoBlend","50","50_100"
"26491","5","QC","20201204","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201204_03/07/2020_NoBlend","05","05_0"
"26501","5","QC","20201204","0","5",0,"03/07/2020","NoBlend","5_QC",2,"20201204_03/07/2020_NoBlend","05","05_0"
"26561","6","QC","20201204","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201204_03/07/2020_NoBlend","10","10_100"
"26581","6","QC","20201204","1","0",100,"03/07/2020","NoBlend","6_QC",2,"20201204_03/07/2020_NoBlend","10","10_100"
